식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
건대 숯불부자곱창,2.9.일,1,"소곱창 맛집 추가입니다.
매장이 넓고 편안한 느낌이예요.❤️
그래서 정말 내 집처럼 먹을 수 있는 느낌!
사장님 정말 친절하시고, 곱창맛 무엇(?)
곱창안에 마늘 들어가 있어서 느끼할 수 있는 느낌 확 잡아주네요. 정말 맛있어요ㅠㅠㅠ쫄깃하고 녹는듯한 느낌입니다.
여기 사진엔 못올렸지만 연예인들 많이 왔더라구요.
소곱창이 2마넌 안넘고, 가성비 좋구요!
맛도 있네요. 매장 넓고 편안하게 먹어서 너무 좋았어요.
번창하세요. 다음에 또 올께요! 맛나게 잘 먹었어요.💓
접기","음식이 맛있어요, 가성비가 좋아요, 잡내가 적어요, 단체모임 하기 좋아요, 직접 잘 구워줘요"
건대 숯불부자곱창,6.8.일,1,곱창 깔끔하고 냄새 안나요!! 늦게까지 열어서 새벽 1시 반 넘어서 왔는데도 사람들이 꽤 있었어요 ㅎㅎㅎ ̆̈,"매장이 넓어요, 음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요"
건대 숯불부자곱창,5.21.수,1,곱창 잡내 없고 맛있어요 !! 볶음밥 고소해용 맛있게 잘 먹고 갑니다 😇,"고기 질이 좋아요, 잡내가 적어요, 매장이 넓어요"
건대 숯불부자곱창,4.27.일,1,"직원분이 너무 친절하셔요 사장님도 너무 친절하셨습니다 곱창도 눈으로 봐도 너무 질이 좋고요 맛있어요!
꼭 재방문 각입니다💗","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
건대 숯불부자곱창,5.29.목,1,"소곱창 모둠 시켰는데 넘 맛있습니다@
건대 곱창 먹으러 오면 여기로 올려구요!
맛있어용❤️","음식이 맛있어요, 고기 질이 좋아요"
건대 숯불부자곱창,3.30.일,1,소곱창 먹고 싶어서 방문했는데 굉장히 맛있고 직원 분들이 친절하세요 초벌이 되어서 나와서 빨리 먹을 수 있기 때문에 만족스럽습니다 추천해요!,"매장이 넓어요, 친절해요, 음식이 맛있어요"
건대 숯불부자곱창,5.11.일,1,친구한테 추천받아서 왔는데 고기도 너무 맛있고 직원도 다들 친절하네요 곱창 금방금방 나와서 더 좋았어요!!! 건대 오면 또 올 것 같슴미당,음식이 맛있어요
건대 숯불부자곱창,2.14.금,1,"진-짜 맛있었어요
개인적으로 통마늘 곱창보단 일반 소곱창이 몇백배는 더맛있어요 볶음밥도 치즈추가안한게 맛있답니당(우리가족취향) 볶음밥 양 정말 많아유, 후식으로 곱창전골도 시켰는데 건더기 겁나 실해요 남편이랑 아빠가 너무맛있다고 전골만 먹으러도 재방문하시겠다하네요 ㅋㅋ
전부 조리되어 나와서 먹기 편했고 직원분들 바쁘신데엄청 친절해서 가족들이랑 정말 맛있게먹었습니다! 또 갈게요~~
접기","단체모임 하기 좋아요, 음식이 맛있어요, 고기 질이 좋아요"
건대 숯불부자곱창,5.3.토,1,"맨날 지나다니다가 리뷰 보고 너무 먹어 보고 싶어서 들어가서 먹었어요. 마늘 소곱창 1일 10인분 한정이라 써있길래 있을까 하고 시켰는데 7시에 가도 있더라고요. 마늘 소곱창 1인분, 소모둠 1인분 먹다가 나름 맛있길래 먹다가 키오스크 밑에 팻말로 소곱창 시키면 간천엽 서비스라고 하여서 시켰더니 정말 간천엽을 좋아하는 사람으로써 여기는 절대 먹지 마세요.. 먹다가 입맛 버리고 중간에 나와서 계산했고, 서비스인 줄 알았더니 계산 할 때 물어보니 달라고 말해야 준다고 합니다. 그럼 말해야 준다고 써두시던가요 ,, 모르고 시켰더니 서비스 양이랑 시키는 양이랑 달라서 뭐 해줄 수가 없다는 알바의 표정 보고 그냥 계산해달라 하고 나왔습니다. 곱창은 나쁘지 않지만 만약 가신다면 간천엽은 드시지 마세요 진짜.
접기","뷰가 좋아요, 야외공간이 멋져요"
건대 숯불부자곱창,5.31.토,1,건대에서 곱창으로 유명해서 왔는데 내부도 넓고 깨끗하고 곱창도 맛있어서 너무 좋았어요~!,"매장이 청결해요, 음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 아늑해요"
건대 숯불부자곱창,5.1.목,1,소곱창 돼지곱창 다 먹었는데 맛있어요~~,"음식이 맛있어요, 매장이 넓어요"
건대 숯불부자곱창,5.21.수,1,2인분인데 양도 실망이고 곱창이 고무같아요..심지어 곱이 없네요...리뷰에 속지말고 오지마세요ㅠㅠ,
건대 숯불부자곱창,6.3.화,1,너무 맛있어용 ㅎㅎ 다음에 또올게요,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
건대 숯불부자곱창,6.11.수,1,매장이 청결하고 맛있어요,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
건대 숯불부자곱창,5.30.금,1,사장님도 넘 친절하시고 맛있어요❤️,"음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 매장이 넓어요"
건대 숯불부자곱창,5.4.일,1,"아이랑 성수 핫플왔다가 건대까지 일부러 와서 들렀어요. 친절하시고 맛있고.. 오늘은 소곱창이지만 다음엔 양곱창 도전!!!
막창 좋아하는 중등과 오기 넘나 좋은곳입니다~♡","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 매장이 넓어요, 친절해요"
건대 숯불부자곱창,5.18.일,1,"메뉴시키면 느리게 나오는 편입니다.
모둠2개 25분 정도 걸렸습니다. 뚝배기가 각 테이블마다 있어서 저희는 안나온 것 같아 저 뚝배기는 뭐냐고 물어봤는데 알바분께서 급하게 메뉴가 조리중으로 나오는 중이라고 하시던데 주방이 보이는 저희로서는 아 잊고계셨구나 싶었습니다. 바쁘니 이해할 수 있지만 사과의 말씀 한마디 없이 콩나물국 주시면서 말씀하신게 이게 맞냐고 그냥 웃으며 얼버부리며 넘기시려는 모습이..후 불판 신경 안써주시고 감자부추 등 야채추가하면 다 꺼진 불판위에 가시던데 불이 안켜져요. 저 자리 불이 안켜져요ㅠㅠ 신경 좀 많이 써주세요 저희도 바쁜 종업원분들 붙잡고 물어보고 싶지 않습니다..
접기","매장이 넓어요, 오래 머무르기 좋아요"
건대 숯불부자곱창,5.27.화,1,"곱창 특유의 잡내도 안 나고 너무너무 맛있어요!
가게도 넓어서 원하는 자리에 편하게 앉을 수 있어요🙂
또 방문할게요!!!☺️","매장이 넓어요, 음식이 맛있어요, 특별한 메뉴가 있어요, 잡내가 적어요"
건대 숯불부자곱창,3.21.금,1,"막창이든 소곱창이든 잡내 하나없고
안에서 초벌해주고 환기도 잘되서 냄새도 잘 안납니다
간만에 가는 곱창집중 만족해용 ㅎㅎ","음식이 맛있어요, 잡내가 적어요, 매장이 넓어요, 친절해요, 직접 잘 구워줘요"
건대 숯불부자곱창,6.10.화,1,첫 방문인데 맛있습니다!! 직원분들도 친철하시고 재방문 의사 있습니다!!! 특히 곱창 너무 맛있네요🤩,"음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 매장이 넓어요, 친절해요"
